a,b,group_a,group_b,rho,p_holm,considered
mass,friction_slide,physical,physical,0.028043,1,0
mass,spawn_height,physical,physical,-0.009794,1,0
mass,obj_radius,physical,layout,0.020035,1,1
mass,approach_angle,physical,layout,-0.003882,1,1
mass,push_dist,physical,layout,-0.009184,1,1
mass,obj_yaw,physical,layout,0.003505,1,1
mass,distractor_angle,physical,layout,0.002061,1,1
mass,distractor_side,physical,layout,0.002990,1,1
mass,distractor_radius,physical,layout,0.027815,1,1
mass,obj_size,physical,appearance,0.012857,1,1
mass,obj_hue,physical,appearance,0.013598,1,1
mass,obj_hue_sin,physical,appearance,-0.010290,1,1
mass,obj_hue_cos,physical,appearance,0.016353,1,1
mass,obj_geom_type=box,physical,appearance,0.013755,1,1
mass,obj_geom_type=sphere,physical,appearance,-0.021643,1,1
mass,obj_geom_type=cylinder,physical,appearance,0.007855,1,1
mass,floor_gray,physical,appearance,-0.005095,1,1
mass,light_x,physical,appearance,-0.025005,1,1
mass,light_y,physical,appearance,0.027859,1,1
mass,light_z,physical,appearance,0.001648,1,1
mass,cam_daz,physical,appearance,-0.007522,1,1
mass,cam_del,physical,appearance,0.015406,1,1
mass,cam_ddist,physical,appearance,-0.024071,1,1
mass,distractor_present,physical,appearance,0.010088,1,1
mass,distractor_size,physical,appearance,0.027113,1,1
mass,distractor_hue,physical,appearance,-0.022750,1,1
mass,distractor_hue_sin,physical,appearance,0.027590,1,1
mass,distractor_hue_cos,physical,appearance,0.013007,1,1
mass,distractor_geom_type=box,physical,appearance,-0.000395,1,1
mass,distractor_geom_type=sphere,physical,appearance,-0.000775,1,1
mass,distractor_geom_type=cylinder,physical,appearance,0.001179,1,1
friction_slide,spawn_height,physical,physical,0.005914,1,0
friction_slide,obj_radius,physical,layout,-0.003010,1,1
friction_slide,approach_angle,physical,layout,0.019066,1,1
friction_slide,push_dist,physical,layout,0.009043,1,1
friction_slide,obj_yaw,physical,layout,-0.020155,1,1
friction_slide,distractor_angle,physical,layout,0.015467,1,1
friction_slide,distractor_side,physical,layout,-0.002410,1,1
friction_slide,distractor_radius,physical,layout,0.016478,1,1
friction_slide,obj_size,physical,appearance,-0.003114,1,1
friction_slide,obj_hue,physical,appearance,0.020897,1,1
friction_slide,obj_hue_sin,physical,appearance,-0.023161,1,1
friction_slide,obj_hue_cos,physical,appearance,0.020747,1,1
friction_slide,obj_geom_type=box,physical,appearance,0.002179,1,1
friction_slide,obj_geom_type=sphere,physical,appearance,-0.004944,1,1
friction_slide,obj_geom_type=cylinder,physical,appearance,0.002746,1,1
friction_slide,floor_gray,physical,appearance,-0.024587,1,1
friction_slide,light_x,physical,appearance,-0.006330,1,1
friction_slide,light_y,physical,appearance,0.009581,1,1
friction_slide,light_z,physical,appearance,0.034614,1,1
friction_slide,cam_daz,physical,appearance,0.008827,1,1
friction_slide,cam_del,physical,appearance,-0.014633,1,1
friction_slide,cam_ddist,physical,appearance,-0.013921,1,1
friction_slide,distractor_present,physical,appearance,0.003939,1,1
friction_slide,distractor_size,physical,appearance,-0.010192,1,1
friction_slide,distractor_hue,physical,appearance,0.031171,1,1
friction_slide,distractor_hue_sin,physical,appearance,-0.013376,1,1
friction_slide,distractor_hue_cos,physical,appearance,-0.007109,1,1
friction_slide,distractor_geom_type=box,physical,appearance,-0.007060,1,1
friction_slide,distractor_geom_type=sphere,physical,appearance,0.004412,1,1
friction_slide,distractor_geom_type=cylinder,physical,appearance,0.002743,1,1
spawn_height,obj_radius,physical,layout,-0.028292,1,1
spawn_height,approach_angle,physical,layout,0.001636,1,1
spawn_height,push_dist,physical,layout,-0.009896,1,1
spawn_height,obj_yaw,physical,layout,-0.008771,1,1
spawn_height,distractor_angle,physical,layout,-0.018589,1,1
spawn_height,distractor_side,physical,layout,0.016611,1,1
spawn_height,distractor_radius,physical,layout,0.046978,1,1
spawn_height,obj_size,physical,appearance,0.005593,1,1
spawn_height,obj_hue,physical,appearance,0.003236,1,1
spawn_height,obj_hue_sin,physical,appearance,0.005185,1,1
spawn_height,obj_hue_cos,physical,appearance,0.002888,1,1
spawn_height,obj_geom_type=box,physical,appearance,0.001993,1,1
spawn_height,obj_geom_type=sphere,physical,appearance,-0.025822,1,1
spawn_height,obj_geom_type=cylinder,physical,appearance,0.023615,1,1
spawn_height,floor_gray,physical,appearance,-0.019496,1,1
spawn_height,light_x,physical,appearance,0.018465,1,1
spawn_height,light_y,physical,appearance,-0.014044,1,1
spawn_height,light_z,physical,appearance,-0.005654,1,1
spawn_height,cam_daz,physical,appearance,0.004707,1,1
spawn_height,cam_del,physical,appearance,-0.030252,1,1
spawn_height,cam_ddist,physical,appearance,-0.008720,1,1
spawn_height,distractor_present,physical,appearance,0.009068,1,1
spawn_height,distractor_size,physical,appearance,-0.002768,1,1
spawn_height,distractor_hue,physical,appearance,-0.033480,1,1
spawn_height,distractor_hue_sin,physical,appearance,0.017642,1,1
spawn_height,distractor_hue_cos,physical,appearance,0.001735,1,1
spawn_height,distractor_geom_type=box,physical,appearance,-0.019523,1,1
spawn_height,distractor_geom_type=sphere,physical,appearance,0.021239,1,1
spawn_height,distractor_geom_type=cylinder,physical,appearance,-0.001489,1,1
obj_radius,approach_angle,layout,layout,0.000848,1,0
obj_radius,push_dist,layout,layout,0.024037,1,0
obj_radius,obj_yaw,layout,layout,-0.007779,1,0
obj_radius,distractor_angle,layout,layout,0.011325,1,0
obj_radius,distractor_side,layout,layout,0.011225,1,0
obj_radius,distractor_radius,layout,layout,-0.024181,1,0
obj_radius,obj_size,layout,appearance,0.035606,1,1
obj_radius,obj_hue,layout,appearance,0.004500,1,1
obj_radius,obj_hue_sin,layout,appearance,-0.002751,1,1
obj_radius,obj_hue_cos,layout,appearance,0.000144,1,1
obj_radius,obj_geom_type=box,layout,appearance,-0.010970,1,1
obj_radius,obj_geom_type=sphere,layout,appearance,0.001984,1,1
obj_radius,obj_geom_type=cylinder,layout,appearance,0.008872,1,1
obj_radius,floor_gray,layout,appearance,-0.009828,1,1
obj_radius,light_x,layout,appearance,0.013598,1,1
obj_radius,light_y,layout,appearance,0.005030,1,1
obj_radius,light_z,layout,appearance,0.011456,1,1
obj_radius,cam_daz,layout,appearance,-0.010585,1,1
obj_radius,cam_del,layout,appearance,-0.029124,1,1
obj_radius,cam_ddist,layout,appearance,-0.014321,1,1
obj_radius,distractor_present,layout,appearance,-0.027620,1,1
obj_radius,distractor_size,layout,appearance,0.013744,1,1
obj_radius,distractor_hue,layout,appearance,0.003127,1,1
obj_radius,distractor_hue_sin,layout,appearance,-0.006994,1,1
obj_radius,distractor_hue_cos,layout,appearance,-0.031427,1,1
obj_radius,distractor_geom_type=box,layout,appearance,-0.013702,1,1
obj_radius,distractor_geom_type=sphere,layout,appearance,0.050584,1,1
obj_radius,distractor_geom_type=cylinder,layout,appearance,-0.036873,1,1
approach_angle,push_dist,layout,layout,-0.006639,1,0
approach_angle,obj_yaw,layout,layout,-0.043893,1,0
approach_angle,distractor_angle,layout,layout,0.007747,1,0
approach_angle,distractor_side,layout,layout,0.014348,1,0
approach_angle,distractor_radius,layout,layout,0.031059,1,0
approach_angle,obj_size,layout,appearance,-0.010906,1,1
approach_angle,obj_hue,layout,appearance,-0.001822,1,1
approach_angle,obj_hue_sin,layout,appearance,-0.007301,1,1
approach_angle,obj_hue_cos,layout,appearance,-0.003400,1,1
approach_angle,obj_geom_type=box,layout,appearance,0.019802,1,1
approach_angle,obj_geom_type=sphere,layout,appearance,-0.043047,1,1
approach_angle,obj_geom_type=cylinder,layout,appearance,0.023087,1,1
approach_angle,floor_gray,layout,appearance,0.014131,1,1
approach_angle,light_x,layout,appearance,-0.004585,1,1
approach_angle,light_y,layout,appearance,-0.024008,1,1
approach_angle,light_z,layout,appearance,-0.022910,1,1
approach_angle,cam_daz,layout,appearance,-0.022769,1,1
approach_angle,cam_del,layout,appearance,0.021833,1,1
approach_angle,cam_ddist,layout,appearance,-0.010638,1,1
approach_angle,distractor_present,layout,appearance,-0.003982,1,1
approach_angle,distractor_size,layout,appearance,-0.025853,1,1
approach_angle,distractor_hue,layout,appearance,0.012220,1,1
approach_angle,distractor_hue_sin,layout,appearance,-0.008602,1,1
approach_angle,distractor_hue_cos,layout,appearance,0.013916,1,1
approach_angle,distractor_geom_type=box,layout,appearance,0.012588,1,1
approach_angle,distractor_geom_type=sphere,layout,appearance,-0.032701,1,1
approach_angle,distractor_geom_type=cylinder,layout,appearance,0.020047,1,1
push_dist,obj_yaw,layout,layout,-0.020272,1,0
push_dist,distractor_angle,layout,layout,-0.027664,1,0
push_dist,distractor_side,layout,layout,-0.002182,1,0
push_dist,distractor_radius,layout,layout,-0.033024,1,0
push_dist,obj_size,layout,appearance,0.031442,1,1
push_dist,obj_hue,layout,appearance,-0.010230,1,1
push_dist,obj_hue_sin,layout,appearance,0.015756,1,1
push_dist,obj_hue_cos,layout,appearance,-0.001023,1,1
push_dist,obj_geom_type=box,layout,appearance,-0.019436,1,1
push_dist,obj_geom_type=sphere,layout,appearance,-0.016350,1,1
push_dist,obj_geom_type=cylinder,layout,appearance,0.035401,1,1
push_dist,floor_gray,layout,appearance,-0.003241,1,1
push_dist,light_x,layout,appearance,-0.004081,1,1
push_dist,light_y,layout,appearance,-0.014369,1,1
push_dist,light_z,layout,appearance,0.019406,1,1
push_dist,cam_daz,layout,appearance,-0.013633,1,1
push_dist,cam_del,layout,appearance,-0.036000,1,1
push_dist,cam_ddist,layout,appearance,0.005021,1,1
push_dist,distractor_present,layout,appearance,0.024566,1,1
push_dist,distractor_size,layout,appearance,0.013586,1,1
push_dist,distractor_hue,layout,appearance,0.015818,1,1
push_dist,distractor_hue_sin,layout,appearance,0.008256,1,1
push_dist,distractor_hue_cos,layout,appearance,0.004888,1,1
push_dist,distractor_geom_type=box,layout,appearance,0.012851,1,1
push_dist,distractor_geom_type=sphere,layout,appearance,0.008303,1,1
push_dist,distractor_geom_type=cylinder,layout,appearance,-0.021396,1,1
obj_yaw,distractor_angle,layout,layout,0.011532,1,0
obj_yaw,distractor_side,layout,layout,0.002134,1,0
obj_yaw,distractor_radius,layout,layout,0.008777,1,0
obj_yaw,obj_size,layout,appearance,0.022159,1,1
obj_yaw,obj_hue,layout,appearance,0.002504,1,1
obj_yaw,obj_hue_sin,layout,appearance,0.021483,1,1
obj_yaw,obj_hue_cos,layout,appearance,-0.002531,1,1
obj_yaw,obj_geom_type=box,layout,appearance,0.005328,1,1
obj_yaw,obj_geom_type=sphere,layout,appearance,0.003683,1,1
obj_yaw,obj_geom_type=cylinder,layout,appearance,-0.008913,1,1
obj_yaw,floor_gray,layout,appearance,-0.003696,1,1
obj_yaw,light_x,layout,appearance,-0.008581,1,1
obj_yaw,light_y,layout,appearance,0.037992,1,1
obj_yaw,light_z,layout,appearance,0.040221,1,1
obj_yaw,cam_daz,layout,appearance,-0.019201,1,1
obj_yaw,cam_del,layout,appearance,-0.019595,1,1
obj_yaw,cam_ddist,layout,appearance,0.030889,1,1
obj_yaw,distractor_present,layout,appearance,0.024302,1,1
obj_yaw,distractor_size,layout,appearance,-0.025235,1,1
obj_yaw,distractor_hue,layout,appearance,0.005612,1,1
obj_yaw,distractor_hue_sin,layout,appearance,-0.001442,1,1
obj_yaw,distractor_hue_cos,layout,appearance,-0.006457,1,1
obj_yaw,distractor_geom_type=box,layout,appearance,-0.013749,1,1
