exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
C,0,random_b,base,11,cls,real,base,contact_state,6000,600,balanced_accuracy,0.7448611111111111,0.7347899305555555,0.7552812499999999,0.5,0.6
C,0,random_b,base,11,cls,real,base,contact_state,6000,600,auroc,0.8423862268518518,0.8349566261574074,0.8495635040509258,0.5,0.6
C,0,random_b,base,11,cls,real,base,ee_obj_dist,6000,600,r2,0.6158419354315245,0.6016090242855622,0.6293245089295268,0.0,
C,0,random_b,base,11,cls,real,base,friction_slide,6000,600,r2,-0.018756075126717286,-0.04070314630044265,-0.002892186187156717,0.0,
C,0,random_b,base,11,cls,real,base,log_mass,6000,600,r2,0.002283501728894244,-0.009105917520790563,0.009202890968740947,0.0,
C,0,random_b,base,11,cls,real,base,obj_pos_x,6000,600,r2,0.4685915304645216,0.4431334958295698,0.49244455111034874,0.0,
C,0,random_b,base,11,cls,real,base,obj_pos_y,6000,600,r2,0.4675600840398846,0.4397972079607136,0.4933900951223358,0.0,
C,0,random_b,base,11,cls,real,base,obj_speed,6000,600,r2,0.07948185785120154,0.061909197091034776,0.09479674147537846,0.0,
C,0,random_b,base,11,cls,real,base,support_state,6000,600,balanced_accuracy,0.5981772931353246,0.5820164867714313,0.6154962476134939,0.5,0.8443333333333334
C,0,random_b,base,11,cls,real,base,support_state,6000,600,auroc,0.7563362755101609,0.7372592462218751,0.7756596285636869,0.5,0.8443333333333334
C,0,random_b,base,11,mean,real,base,contact_state,6000,600,balanced_accuracy,0.7540972222222222,0.7439583333333333,0.7635416666666667,0.5,0.6
C,0,random_b,base,11,mean,real,base,contact_state,6000,600,auroc,0.8494991898148149,0.842432410300926,0.856355708912037,0.5,0.6
C,0,random_b,base,11,mean,real,base,ee_obj_dist,6000,600,r2,0.6382658445044598,0.6245222886351617,0.6517969271823852,0.0,
C,0,random_b,base,11,mean,real,base,friction_slide,6000,600,r2,-0.02079371065466895,-0.04303751838709163,-0.004671198157642268,0.0,
C,0,random_b,base,11,mean,real,base,log_mass,6000,600,r2,0.002218774232286669,-0.009318657924036983,0.00892802394683263,0.0,
C,0,random_b,base,11,mean,real,base,obj_pos_x,6000,600,r2,0.4905996323339228,0.46534905848679486,0.5143461315839106,0.0,
C,0,random_b,base,11,mean,real,base,obj_pos_y,6000,600,r2,0.5070864155428789,0.4826943607134743,0.5291712038199722,0.0,
C,0,random_b,base,11,mean,real,base,obj_speed,6000,600,r2,0.08718842952574801,0.070024029685549,0.10217825968174556,0.0,
C,0,random_b,base,11,mean,real,base,support_state,6000,600,balanced_accuracy,0.6121377686064294,0.5959894778859048,0.6286765821052726,0.5,0.8443333333333334
C,0,random_b,base,11,mean,real,base,support_state,6000,600,auroc,0.7624273931005798,0.7435318207519436,0.7828061367157193,0.5,0.8443333333333334
C,0,random_b,base,2,cls,real,base,contact_state,6000,600,balanced_accuracy,0.7463194444444445,0.7367343749999999,0.7558368055555555,0.5,0.6
C,0,random_b,base,2,cls,real,base,contact_state,6000,600,auroc,0.8402526620370371,0.8327883767361111,0.8474294010416666,0.5,0.6
C,0,random_b,base,2,cls,real,base,ee_obj_dist,6000,600,r2,0.6055960687205963,0.5883256750025111,0.6217700311581612,0.0,
C,0,random_b,base,2,cls,real,base,friction_slide,6000,600,r2,-0.01460429685538367,-0.035326086199968174,-0.0011987178433938545,0.0,
C,0,random_b,base,2,cls,real,base,log_mass,6000,600,r2,0.00230302339951427,-0.008491303162379315,0.008331039831241317,0.0,
C,0,random_b,base,2,cls,real,base,obj_pos_x,6000,600,r2,0.43909138816092497,0.3974076247104589,0.47222123406637906,0.0,
