exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
D,dinov2_b,base,2,cls,real,base,contact_state,auroc,0.8858697916666667,0.877728755787037,0.8947579716435184,0.0012053849725704754,5,0.5,0.6
D,dinov2_b,base,2,cls,real,base,contact_state,balanced_accuracy,0.7888611111111111,0.7743732638888889,0.8058333333333333,0.004511345437263838,5,0.5,0.6
D,dinov2_b,base,2,cls,real,base,ee_obj_dist,r2,0.7870527160279698,0.7651394931437797,0.807445200829217,0.007171942082894569,5,0.0,
D,dinov2_b,base,2,cls,real,base,friction_slide,r2,-0.006652229946765576,-0.038014580547180495,0.008881158628122257,0.006710583351819245,5,0.0,
D,dinov2_b,base,2,cls,real,base,log_mass,r2,-0.006005331792438584,-0.024525871216482413,0.004716871882296351,0.004212586393790943,5,0.0,
D,dinov2_b,base,2,cls,real,base,obj_pos_x,r2,0.7656321288920551,0.7368820978272165,0.7875806638339243,0.0075892849269556225,5,0.0,
D,dinov2_b,base,2,cls,real,base,obj_pos_y,r2,0.7257940633170586,0.6935780948447274,0.7554361231152004,0.007827773692819305,5,0.0,
D,dinov2_b,base,2,cls,real,base,obj_speed,r2,0.1496043025680158,0.10577017886775211,0.18483260168741839,0.012444412659508507,5,0.0,
D,dinov2_b,base,2,cls,real,base,support_state,auroc,0.8165786522220717,0.7903182759799227,0.849257521931592,0.008975549337070884,5,0.5,0.8443333333333334
D,dinov2_b,base,2,cls,real,base,support_state,balanced_accuracy,0.6897919035669057,0.660231738248908,0.7182697847375715,0.00924374923145565,5,0.5,0.8443333333333334
D,dinov2_b,base,2,mean,real,base,contact_state,auroc,0.919399537037037,0.9114021296296296,0.9263409143518518,0.0016211990291830122,5,0.5,0.6
D,dinov2_b,base,2,mean,real,base,contact_state,balanced_accuracy,0.8339722222222221,0.8202725694444445,0.8474305555555555,0.003611485023376678,5,0.5,0.6
D,dinov2_b,base,2,mean,real,base,ee_obj_dist,r2,0.8878136656875366,0.8752462490633071,0.8989311101009436,0.0028516101734575973,5,0.0,
D,dinov2_b,base,2,mean,real,base,friction_slide,r2,-0.00912895775165885,-0.03909375886374084,0.004251990546797389,0.005529266568373567,5,0.0,
D,dinov2_b,base,2,mean,real,base,log_mass,r2,-0.005270605665239958,-0.02404152295035571,0.009009592502902886,0.003848314103087095,5,0.0,
D,dinov2_b,base,2,mean,real,base,obj_pos_x,r2,0.8693321305016319,0.8487067149670262,0.8888410884167554,0.005604947799991378,5,0.0,
D,dinov2_b,base,2,mean,real,base,obj_pos_y,r2,0.8223171155221252,0.788015050864556,0.8435503089729873,0.00828720289282532,5,0.0,
D,dinov2_b,base,2,mean,real,base,obj_speed,r2,0.1894797442728524,0.15310294651103823,0.2180476173171936,0.009761366863388578,5,0.0,
D,dinov2_b,base,2,mean,real,base,support_state,auroc,0.8434123848641146,0.818596945132409,0.8685681800645196,0.0056147773597300535,5,0.5,0.8443333333333334
D,dinov2_b,base,2,mean,real,base,support_state,balanced_accuracy,0.7168507470873612,0.6914346197811325,0.7412934322438878,0.0044917978475987235,5,0.5,0.8443333333333334
D,dinov2_b,base,5,cls,real,base,contact_state,auroc,0.9410616898148149,0.9337362471064815,0.9481077112268519,0.001589912117983173,5,0.5,0.6
D,dinov2_b,base,5,cls,real,base,contact_state,balanced_accuracy,0.8594444444444445,0.8468055555555556,0.8745138888888888,0.00366940133711746,5,0.5,0.6
D,dinov2_b,base,5,cls,real,base,ee_obj_dist,r2,0.9033347009422069,0.8912671624954902,0.9124562209846542,0.0026728166245442503,5,0.0,
D,dinov2_b,base,5,cls,real,base,friction_slide,r2,-0.006926215869374608,-0.036698243906228216,0.0075047286501385615,0.00626262773323789,5,0.0,
D,dinov2_b,base,5,cls,real,base,log_mass,r2,-0.009144514751007683,-0.02950089308151161,0.006652287559754893,0.005687103933781446,5,0.0,
D,dinov2_b,base,5,cls,real,base,obj_pos_x,r2,0.9037319979149088,0.8822638680674418,0.917115937646232,0.004729275509862138,5,0.0,
D,dinov2_b,base,5,cls,real,base,obj_pos_y,r2,0.837677545624145,0.8146093279109448,0.8563893256725568,0.003937867766436327,5,0.0,
D,dinov2_b,base,5,cls,real,base,obj_speed,r2,0.22252993059518827,0.18060800242307262,0.25531760888699034,0.010989201329413105,5,0.0,
