exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial,majority_rate
E,0,dinov2_b,occluded,11,cls,matched,occluded,contact_state,2000,200,balanced_accuracy,0.8808333333333334,0.8695781250000001,0.8916666666666667,0.5,0.6
E,0,dinov2_b,occluded,11,cls,matched,occluded,contact_state,2000,200,auroc,0.9513458333333333,0.9437421874999999,0.9582845833333333,0.5,0.6
E,0,dinov2_b,occluded,11,cls,matched,occluded,ee_obj_dist,2000,200,r2,0.9245319156013789,0.9162165135760428,0.931673166630852,0.0,
E,0,dinov2_b,occluded,11,cls,matched,occluded,friction_slide,2000,200,r2,0.0036878846006531685,-0.033753942993020425,0.02144647808750131,0.0,
E,0,dinov2_b,occluded,11,cls,matched,occluded,log_mass,2000,200,r2,-0.01925274292090906,-0.07431318035625159,0.00047673976915123826,0.0,
E,0,dinov2_b,occluded,11,cls,matched,occluded,obj_pos_x,2000,200,r2,0.9209348545189598,0.9121126069959793,0.9286258591819756,0.0,
E,0,dinov2_b,occluded,11,cls,matched,occluded,obj_pos_y,2000,200,r2,0.8597413059498592,0.8405374865229073,0.877814843678198,0.0,
E,0,dinov2_b,occluded,11,cls,matched,occluded,obj_speed,2000,200,r2,0.31278198709248883,0.270882266807467,0.3500590528699799,0.0,
E,0,dinov2_b,occluded,11,cls,matched,occluded,support_state,2000,200,balanced_accuracy,0.7720969319649584,0.7468948298209551,0.7989036390410151,0.5,0.8335
E,0,dinov2_b,occluded,11,cls,matched,occluded,support_state,2000,200,auroc,0.8865668307779886,0.8641521146259457,0.9093768391461403,0.5,0.8335
E,0,dinov2_b,occluded,11,mean,matched,occluded,contact_state,2000,200,balanced_accuracy,0.8679166666666667,0.854578125,0.8808333333333334,0.5,0.6
E,0,dinov2_b,occluded,11,mean,matched,occluded,contact_state,2000,200,auroc,0.9482114583333333,0.940871171875,0.9551437500000001,0.5,0.6
E,0,dinov2_b,occluded,11,mean,matched,occluded,ee_obj_dist,2000,200,r2,0.927198440693673,0.9185450468556031,0.9355368157676507,0.0,
E,0,dinov2_b,occluded,11,mean,matched,occluded,friction_slide,2000,200,r2,-0.00015981231183670452,-0.037711992654476924,0.0187949053643115,0.0,
E,0,dinov2_b,occluded,11,mean,matched,occluded,log_mass,2000,200,r2,-0.027602311838944793,-0.08534785419101386,-0.0034127067382793298,0.0,
E,0,dinov2_b,occluded,11,mean,matched,occluded,obj_pos_x,2000,200,r2,0.9283382697607124,0.9185775339813252,0.9373001684052503,0.0,
E,0,dinov2_b,occluded,11,mean,matched,occluded,obj_pos_y,2000,200,r2,0.8889188556748344,0.86713147140969,0.9074074503199655,0.0,
E,0,dinov2_b,occluded,11,mean,matched,occluded,obj_speed,2000,200,r2,0.30563929031251846,0.2598789943693222,0.34667187721910037,0.0,
