exp,seed,encoder,train_condition,layer,view,task,eval_condition,target,n_rows,n_scenes,metric,value,ci_low,ci_high,trivial
F,0,dinov2_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,0.020565352719938756,-0.016837898095479465,0.05154413371294508,0.0
F,0,dinov2_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,-0.0056465945447790045,-0.016164466769749787,-0.0003935518548176722,0.0
F,0,dinov2_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,0.03373115327457421,-0.0035459317895106587,0.06619733433280472,0.0
F,0,dinov2_b,base,11,mean,scene_pooled,base,log_mass,600,600,r2,-0.004781113471288956,-0.015117661508333763,0.00057506066673503,0.0
F,0,dinov2_b,base,2,cls,scene_pooled,base,friction_slide,600,600,r2,-0.013902478490240844,-0.034162518210504596,-0.0020978954346917997,0.0
F,0,dinov2_b,base,2,cls,scene_pooled,base,log_mass,600,600,r2,0.0004912299780277518,-0.009004620176075739,0.003495452891228717,0.0
F,0,dinov2_b,base,2,mean,scene_pooled,base,friction_slide,600,600,r2,-0.009645100370929915,-0.028091386230866062,-0.0018239756077292962,0.0
F,0,dinov2_b,base,2,mean,scene_pooled,base,log_mass,600,600,r2,0.00020418997193349941,-0.010211287520045886,0.006054470507777593,0.0
F,0,dinov2_b,base,5,cls,scene_pooled,base,friction_slide,600,600,r2,-0.016895924049129984,-0.03880582319981327,-0.00184244365877902,0.0
F,0,dinov2_b,base,5,cls,scene_pooled,base,log_mass,600,600,r2,-0.004082579111035489,-0.014070788524775807,0.0009166654194172389,0.0
F,0,dinov2_b,base,5,mean,scene_pooled,base,friction_slide,600,600,r2,-0.007901384468238959,-0.026470647058662217,0.0001581984152087785,0.0
F,0,dinov2_b,base,5,mean,scene_pooled,base,log_mass,600,600,r2,-0.0005807084977129673,-0.010844842757819185,0.004436135301988787,0.0
F,0,dinov2_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,-0.007469151912333549,-0.044072397751718465,0.026276899648008566,0.0
F,0,dinov2_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,-0.004370087498110742,-0.015030236677761554,0.00123609881057778,0.0
F,0,dinov2_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,-0.007708495822510653,-0.025558944336582873,-0.0003959483039306089,0.0
F,0,dinov2_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,-0.001725355593140021,-0.012020975968738894,0.0034380082336854622,0.0
F,0,random_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,-0.02193589629098036,-0.04566665398506238,-0.0024258801863090277,0.0
F,0,random_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,0.0014227733983253055,-0.008359140377721003,0.005172869724729997,0.0
F,0,random_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,-0.02135272764475893,-0.04402909777225868,-0.004978961459279155,0.0
F,0,random_b,base,11,mean,scene_pooled,base,log_mass,600,600,r2,0.0011384058220207383,-0.008487851710077193,0.004362814662466498,0.0
F,0,random_b,base,2,cls,scene_pooled,base,friction_slide,600,600,r2,-0.014886172947401466,-0.035739454229931494,-0.001499952145961314,0.0
F,0,random_b,base,2,cls,scene_pooled,base,log_mass,600,600,r2,0.000943465104649821,-0.008781971893146823,0.004109910154898033,0.0
F,0,random_b,base,2,mean,scene_pooled,base,friction_slide,600,600,r2,-0.022408049005011366,-0.04449789992339959,-0.006397747263320198,0.0
F,0,random_b,base,2,mean,scene_pooled,base,log_mass,600,600,r2,0.0008706883907956264,-0.008657525898048612,0.004023935628274001,0.0
F,0,random_b,base,5,cls,scene_pooled,base,friction_slide,600,600,r2,-0.015025918622252332,-0.0358771030610341,-0.0016635717400461057,0.0
F,0,random_b,base,5,cls,scene_pooled,base,log_mass,600,600,r2,0.0012771538166395091,-0.008639941321857076,0.004906452869400381,0.0
F,0,random_b,base,5,mean,scene_pooled,base,friction_slide,600,600,r2,-0.020423542051071664,-0.042242020051054284,-0.004668610987331318,0.0
F,0,random_b,base,5,mean,scene_pooled,base,log_mass,600,600,r2,0.0010269532806387316,-0.008528526040579843,0.004324684869674096,0.0
F,0,random_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,-0.015319768948791834,-0.036665688942082594,-0.0015643629976779079,0.0
F,0,random_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,0.00143939563912876,-0.008573928849413942,0.005239142782453632,0.0
F,0,random_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,-0.028477621177164014,-0.05219880927690347,-0.009082942039510364,0.0
F,0,random_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,0.0010742175576721191,-0.00849651922066757,0.004374802421958134,0.0
F,0,videomae_b,base,11,mean,real,base,friction_slide,600,600,r2,0.2772527676379668,0.21240718406462372,0.33869156524815425,0.0
F,0,videomae_b,base,11,mean,real,base,log_mass,600,600,r2,0.0012135910856344578,-0.00886857500552105,0.005598037332352778,0.0
F,0,videomae_b,base,2,mean,real,base,friction_slide,600,600,r2,0.13733290298050482,0.07637435450902763,0.1978498498642729,0.0
F,0,videomae_b,base,2,mean,real,base,log_mass,600,600,r2,0.001296477890125658,-0.008108475797723984,0.004785262283885431,0.0
F,0,videomae_b,base,5,mean,real,base,friction_slide,600,600,r2,0.3313646047428759,0.2608720584751661,0.39964673239567444,0.0
F,0,videomae_b,base,5,mean,real,base,log_mass,600,600,r2,0.00011206924506579341,-0.009546759912069292,0.004205792012077415,0.0
F,0,videomae_b,base,8,mean,real,base,friction_slide,600,600,r2,0.35790611566848585,0.296654648834808,0.41651788378287613,0.0
F,0,videomae_b,base,8,mean,real,base,log_mass,600,600,r2,0.00010504984168169251,-0.00988024394341051,0.004563454249698151,0.0
F,0,vjepa2,base,11,mean,real,base,friction_slide,600,600,r2,0.48249954859271504,0.42409106662630497,0.5358735806528911,0.0
F,0,vjepa2,base,11,mean,real,base,log_mass,600,600,r2,-0.001135319532888257,-0.011196634969063906,0.0038555918788985583,0.0
F,0,vjepa2,base,17,mean,real,base,friction_slide,600,600,r2,0.5884346084604547,0.5338053762462619,0.6362335014141247,0.0
F,0,vjepa2,base,17,mean,real,base,log_mass,600,600,r2,-0.005797292965866285,-0.015904665088016755,-0.0009972245277084936,0.0
F,0,vjepa2,base,23,mean,real,base,friction_slide,600,600,r2,0.5829180409991537,0.5348135119469858,0.6283663037017716,0.0
F,0,vjepa2,base,23,mean,real,base,log_mass,600,600,r2,-0.008736993785427583,-0.01979424826824643,-0.002796889032509721,0.0
F,0,vjepa2,base,5,mean,real,base,friction_slide,600,600,r2,0.33000119065687405,0.2643274414981607,0.3948180745882828,0.0
F,0,vjepa2,base,5,mean,real,base,log_mass,600,600,r2,-0.00043306454014957474,-0.00984365005175612,0.0032344095156954383,0.0
F,1,dinov2_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,0.028619387514030703,-0.011369816559943069,0.0635805855679436,0.0
F,1,dinov2_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,-0.0003162066345245851,-0.011703107049705752,0.0033013669203358106,0.0
F,1,dinov2_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,0.029949622942433973,0.0023111787453154843,0.0550549119336972,0.0
F,1,dinov2_b,base,11,mean,scene_pooled,base,log_mass,600,600,r2,0.000180853288758831,-0.011626983332506346,0.004640972187101355,0.0
F,1,dinov2_b,base,2,cls,scene_pooled,base,friction_slide,600,600,r2,0.0010036366184273948,-0.00901329865879007,0.004716185821651095,0.0
F,1,dinov2_b,base,2,cls,scene_pooled,base,log_mass,600,600,r2,-0.004161646432950805,-0.015460647134097472,0.00020357294660000095,0.0
F,1,dinov2_b,base,2,mean,scene_pooled,base,friction_slide,600,600,r2,-0.00037155020108836645,-0.010255699963006126,0.0030219661008150426,0.0
F,1,dinov2_b,base,2,mean,scene_pooled,base,log_mass,600,600,r2,-0.0019815024841858264,-0.014870235913744673,0.004458913569105029,0.0
F,1,dinov2_b,base,5,cls,scene_pooled,base,friction_slide,600,600,r2,-8.698609365276333e-05,-0.010453745252501683,0.00408218309769478,0.0
F,1,dinov2_b,base,5,cls,scene_pooled,base,log_mass,600,600,r2,-0.0023615127063945085,-0.013974426668366896,0.002552562268394039,0.0
F,1,dinov2_b,base,5,mean,scene_pooled,base,friction_slide,600,600,r2,0.00011864781464743235,-0.00950753420357724,0.004193845546504615,0.0
F,1,dinov2_b,base,5,mean,scene_pooled,base,log_mass,600,600,r2,0.00042809717659852975,-0.011621939288394428,0.0064780128468226485,0.0
F,1,dinov2_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,0.02339804080913077,-0.01456951540761961,0.05551642369788282,0.0
F,1,dinov2_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,-0.0003167000056760738,-0.012952553397929788,0.00522493927885214,0.0
F,1,dinov2_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,0.001236114435844038,-0.008293906621703612,0.0048531999791249095,0.0
F,1,dinov2_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,0.0004676690315982279,-0.011984609422392217,0.006464375773534718,0.0
F,1,random_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,0.0018967135281287018,-0.0075932731397219235,0.004526725659692595,0.0
F,1,random_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,-0.0024832158530649906,-0.014013657649945943,0.002145944174776568,0.0
F,1,random_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,0.0030476207641968456,-0.006339281536599811,0.005755413656016254,0.0
F,1,random_b,base,11,mean,scene_pooled,base,log_mass,600,600,r2,-0.0016655999766370666,-0.012494346224586238,0.002068609957846345,0.0
F,1,random_b,base,2,cls,scene_pooled,base,friction_slide,600,600,r2,0.0016103978768752247,-0.007778984065580979,0.0038332122195261368,0.0
F,1,random_b,base,2,cls,scene_pooled,base,log_mass,600,600,r2,-0.0029522196505906706,-0.014417180569111699,0.0013595534508917201,0.0
F,1,random_b,base,2,mean,scene_pooled,base,friction_slide,600,600,r2,0.0028409972493796953,-0.00660576908562629,0.0055189418425534344,0.0
F,1,random_b,base,2,mean,scene_pooled,base,log_mass,600,600,r2,-0.002237641508877175,-0.0133518513864407,0.0018122262400167178,0.0
F,1,random_b,base,5,cls,scene_pooled,base,friction_slide,600,600,r2,0.0018043326829128015,-0.0076118106875896095,0.004162021310161013,0.0
F,1,random_b,base,5,cls,scene_pooled,base,log_mass,600,600,r2,-0.002530005008194225,-0.014064491377158594,0.0020693858764151223,0.0
F,1,random_b,base,5,mean,scene_pooled,base,friction_slide,600,600,r2,0.00300792693699381,-0.006395058794815445,0.005752210724696285,0.0
F,1,random_b,base,5,mean,scene_pooled,base,log_mass,600,600,r2,-0.002022934945450805,-0.013108973095844145,0.0019562361621453914,0.0
F,1,random_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,0.0021110915094898486,-0.007298309964679284,0.004744584592117481,0.0
F,1,random_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,-0.002435088792544615,-0.013995744202801813,0.0022600403356542965,0.0
F,1,random_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,0.0028599255217540698,-0.006594951480404098,0.005671813283579058,0.0
F,1,random_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,-0.001983692583470198,-0.013054872228970888,0.0019533292678329123,0.0
F,1,videomae_b,base,11,mean,real,base,friction_slide,600,600,r2,0.2885044050412717,0.2186598749605678,0.3520492708786771,0.0
F,1,videomae_b,base,11,mean,real,base,log_mass,600,600,r2,-0.0011387575994217247,-0.013113622653362012,0.005204048108301696,0.0
F,1,videomae_b,base,2,mean,real,base,friction_slide,600,600,r2,0.0824536519589083,0.003464325921707182,0.16006214551759523,0.0
F,1,videomae_b,base,2,mean,real,base,log_mass,600,600,r2,-0.0024199510926483647,-0.014324538186380386,0.0037682469563319254,0.0
F,1,videomae_b,base,5,mean,real,base,friction_slide,600,600,r2,0.32271447568924017,0.25261063183734017,0.3902120037253499,0.0
F,1,videomae_b,base,5,mean,real,base,log_mass,600,600,r2,-0.0024833855253809656,-0.014297168979520759,0.0037736704216807327,0.0
F,1,videomae_b,base,8,mean,real,base,friction_slide,600,600,r2,0.37552081215895405,0.31456626526174103,0.4348824446111897,0.0
F,1,videomae_b,base,8,mean,real,base,log_mass,600,600,r2,-0.0013366551614839572,-0.01325737349355438,0.005001650663916925,0.0
F,1,vjepa2,base,11,mean,real,base,friction_slide,600,600,r2,0.5014637888414208,0.4412504945302192,0.5549805411466792,0.0
F,1,vjepa2,base,11,mean,real,base,log_mass,600,600,r2,0.00043633417832866783,-0.010603918757824304,0.00576583975943073,0.0
F,1,vjepa2,base,17,mean,real,base,friction_slide,600,600,r2,0.6077954284912264,0.5578190223413898,0.6524191242022895,0.0
F,1,vjepa2,base,17,mean,real,base,log_mass,600,600,r2,-0.00037581706990308383,-0.011071277758333515,0.0038217351062465863,0.0
F,1,vjepa2,base,23,mean,real,base,friction_slide,600,600,r2,0.5735040487979302,0.522613933120118,0.6211252915924085,0.0
F,1,vjepa2,base,23,mean,real,base,log_mass,600,600,r2,-0.00041844382488109844,-0.011926074559257916,0.004106826345818247,0.0
F,1,vjepa2,base,5,mean,real,base,friction_slide,600,600,r2,0.35692343808846516,0.2929897117356522,0.41944833368864776,0.0
F,1,vjepa2,base,5,mean,real,base,log_mass,600,600,r2,-0.002300757340986337,-0.013884742181551307,0.003405803099318093,0.0
F,2,dinov2_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,0.013874841532528603,-0.023236854421905744,0.044992305489577625,0.0
F,2,dinov2_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,-0.003126130254400339,-0.014991067114174644,0.0010118381546214493,0.0
F,2,dinov2_b,base,11,mean,scene_pooled,base,friction_slide,600,600,r2,0.023974191026064684,-0.0011200002133165293,0.04562937974408985,0.0
F,2,dinov2_b,base,11,mean,scene_pooled,base,log_mass,600,600,r2,-0.0029404585569337005,-0.014996087400228276,0.001722109056089206,0.0
F,2,dinov2_b,base,2,cls,scene_pooled,base,friction_slide,600,600,r2,-0.00025891263366339956,-0.009273560107055556,0.003081888574159987,0.0
F,2,dinov2_b,base,2,cls,scene_pooled,base,log_mass,600,600,r2,-0.0037258049384905068,-0.01571851460674949,0.0006272417201525779,0.0
F,2,dinov2_b,base,2,mean,scene_pooled,base,friction_slide,600,600,r2,-0.0015844358807948211,-0.010702626872485604,0.0018239061651767424,0.0
F,2,dinov2_b,base,2,mean,scene_pooled,base,log_mass,600,600,r2,-0.000888533638727651,-0.013420244545899311,0.00459599814721466,0.0
F,2,dinov2_b,base,5,cls,scene_pooled,base,friction_slide,600,600,r2,-0.002704870938759818,-0.012098364962638409,0.0011475791233864917,0.0
F,2,dinov2_b,base,5,cls,scene_pooled,base,log_mass,600,600,r2,-0.005518788329925695,-0.01826767956338534,0.00018273531669728686,0.0
F,2,dinov2_b,base,5,mean,scene_pooled,base,friction_slide,600,600,r2,-0.0014278984306033138,-0.010989346104530007,0.002446778442624948,0.0
F,2,dinov2_b,base,5,mean,scene_pooled,base,log_mass,600,600,r2,-0.0013941317834973432,-0.013489449786593749,0.004090480667578837,0.0
F,2,dinov2_b,base,8,cls,scene_pooled,base,friction_slide,600,600,r2,0.0067075795442426145,-0.027052863724925887,0.03408268159203602,0.0
F,2,dinov2_b,base,8,cls,scene_pooled,base,log_mass,600,600,r2,-0.0032282964178138585,-0.015555490413949453,0.0016204655027283537,0.0
F,2,dinov2_b,base,8,mean,scene_pooled,base,friction_slide,600,600,r2,-0.0013444822845938287,-0.010356969585503473,0.0021432482387324934,0.0
F,2,dinov2_b,base,8,mean,scene_pooled,base,log_mass,600,600,r2,-0.002157816113762978,-0.01497670711604825,0.0033607247442857227,0.0
F,2,random_b,base,11,cls,scene_pooled,base,friction_slide,600,600,r2,-0.0017693571541372854,-0.012046013063413135,0.00281043978916704,0.0
F,2,random_b,base,11,cls,scene_pooled,base,log_mass,600,600,r2,-0.0016567274432599532,-0.014192922708703625,0.0033815657268544356,0.0
