exp,encoder,train_condition,layer,view,task,eval_condition,target,metric,value,ci_low,ci_high,seed_sd,n_seeds,trivial,majority_rate
F,dinov2_b,base,2,cls,scene_pooled,base,friction_slide,r2,-0.004165087826746738,-0.034162518210504596,0.004716185821651095,0.005787703623624381,5,0.0,
F,dinov2_b,base,2,cls,scene_pooled,base,log_mass,r2,-0.002439144820095507,-0.016098695213679827,0.003495452891228717,0.002204568857671521,5,0.0,
F,dinov2_b,base,2,mean,scene_pooled,base,friction_slide,r2,-0.004055904713525127,-0.028091386230866062,0.0031172140623334783,0.003699320021516611,5,0.0,
F,dinov2_b,base,2,mean,scene_pooled,base,log_mass,r2,-0.0009273715230841084,-0.016506435303804266,0.007208603889935636,0.00200465975460777,5,0.0,
F,dinov2_b,base,5,cls,scene_pooled,base,friction_slide,r2,-0.00445759187147623,-0.03880582319981327,0.00408218309769478,0.006328875958809421,5,0.0,
F,dinov2_b,base,5,cls,scene_pooled,base,log_mass,r2,-0.003174618202022761,-0.01826767956338534,0.005282360178812133,0.0027020495360012783,5,0.0,
F,dinov2_b,base,5,mean,scene_pooled,base,friction_slide,r2,-0.0032525086099832513,-0.026470647058662217,0.004919062272158359,0.003581775543110365,5,0.0,
F,dinov2_b,base,5,mean,scene_pooled,base,log_mass,r2,-0.0005196423456660382,-0.015333704371632678,0.007499958292085293,0.0017984591033191517,5,0.0,
F,dinov2_b,base,8,cls,scene_pooled,base,friction_slide,r2,0.002104478239578866,-0.05731140879888032,0.05551642369788282,0.014145338611291521,5,0.0,
F,dinov2_b,base,8,cls,scene_pooled,base,log_mass,r2,-0.0018418061897673699,-0.015555490413949453,0.00522493927885214,0.0017893331623234656,5,0.0,
F,dinov2_b,base,8,mean,scene_pooled,base,friction_slide,r2,-0.00412053692060288,-0.027946821084368228,0.020325673475510425,0.004320962494600378,5,0.0,
F,dinov2_b,base,8,mean,scene_pooled,base,log_mass,r2,-0.0005265606471341444,-0.01497670711604825,0.006954671762184979,0.0014182683695597121,5,0.0,
F,dinov2_b,base,11,cls,scene_pooled,base,friction_slide,r2,0.014792229004426272,-0.03906136265744339,0.0635805855679436,0.009754630023967833,5,0.0,
F,dinov2_b,base,11,cls,scene_pooled,base,log_mass,r2,-0.0022092995837565523,-0.016164466769749787,0.0033013669203358106,0.002029462313784779,5,0.0,
F,dinov2_b,base,11,mean,scene_pooled,base,friction_slide,r2,0.018067181570720958,-0.052117537787312485,0.06619733433280472,0.01410799069407038,5,0.0,
F,dinov2_b,base,11,mean,scene_pooled,base,log_mass,r2,-0.0019292342283951935,-0.015117661508333763,0.004640972187101355,0.001743154997150386,5,0.0,
F,random_b,base,2,cls,scene_pooled,base,friction_slide,r2,-0.006089640613578062,-0.035739454229931494,0.004743684291422614,0.007978868485638555,5,0.0,
F,random_b,base,2,cls,scene_pooled,base,log_mass,r2,-0.00106751895154229,-0.014441230899592022,0.004109910154898033,0.0015454519986652033,5,0.0,
F,random_b,base,2,mean,scene_pooled,base,friction_slide,r2,-0.0042245485432151455,-0.04449789992339959,0.0055189418425534344,0.009227476971115312,5,0.0,
F,random_b,base,2,mean,scene_pooled,base,log_mass,r2,-0.000533771859271015,-0.0133518513864407,0.004023935628274001,0.0011091855021994387,5,0.0,
